CountryName,Year,Sex,Cause,NCD_Category,Total_Deaths,Age_Group,Deaths,Age_Range
Qatar,2017,Male,C04,Cancer,2.0,Age Group 1,1.0,0-14
Qatar,2017,Male,C15,Cancer,2.0,Age Group 1,1.0,0-14
Qatar,2017,Male,C16,Cancer,18.0,Age Group 1,9.0,0-14
Qatar,2017,Male,C17,Cancer,4.0,Age Group 1,2.0,0-14
Qatar,2017,Male,C18,Cancer,26.0,Age Group 1,13.0,0-14
Qatar,2017,Male,C20,Cancer,4.0,Age Group 1,2.0,0-14
Qatar,2017,Male,C22,Cancer,44.0,Age Group 1,22.0,0-14
Qatar,2017,Male,C23,Cancer,4.0,Age Group 1,2.0,0-14
Qatar,2017,Male,C25,Cancer,18.0,Age Group 1,9.0,0-14
Qatar,2017,Male,C30,Cancer,2.0,Age Group 1,1.0,0-14
Qatar,2017,Male,C32,Cancer,4.0,Age Group 1,2.0,0-14
Qatar,2017,Male,E10,Diabetes,10.0,Age Group 1,5.0,0-14
Qatar,2017,Male,E11,Diabetes,68.0,Age Group 1,34.0,0-14
Qatar,2017,Male,E14,Diabetes,92.0,Age Group 1,46.0,0-14
Qatar,2017,Male,I10,Hypertension,58.0,Age Group 1,29.0,0-14
Qatar,2017,Male,I11,Hypertension,10.0,Age Group 1,5.0,0-14
Qatar,2017,Male,I13,Hypertension,10.0,Age Group 1,5.0,0-14
Qatar,2017,Male,I15,Hypertension,8.0,Age Group 1,4.0,0-14
Qatar,2017,Male,I20,Heart Disease,4.0,Age Group 1,2.0,0-14
Qatar,2017,Male,I21,Heart Disease,100.0,Age Group 1,50.0,0-14
Qatar,2017,Male,I22,Heart Disease,8.0,Age Group 1,4.0,0-14
Qatar,2017,Male,I24,Heart Disease,12.0,Age Group 1,6.0,0-14
Qatar,2017,Male,I25,Heart Disease,230.0,Age Group 1,115.0,0-14
Qatar,2017,Male,I60,Stroke,8.0,Age Group 1,4.0,0-14
Qatar,2017,Male,I61,Stroke,16.0,Age Group 1,8.0,0-14
Qatar,2017,Male,I62,Stroke,6.0,Age Group 1,3.0,0-14
Qatar,2017,Male,I63,Stroke,8.0,Age Group 1,4.0,0-14
Qatar,2017,Male,I64,Stroke,20.0,Age Group 1,10.0,0-14
Qatar,2017,Male,I67,Stroke,8.0,Age Group 1,4.0,0-14
Qatar,2017,Male,I69,Stroke,4.0,Age Group 1,2.0,0-14
Qatar,2017,Female,C15,Cancer,2.0,Age Group 1,1.0,0-14
Qatar,2017,Female,C16,Cancer,6.0,Age Group 1,3.0,0-14
Qatar,2017,Female,C18,Cancer,16.0,Age Group 1,8.0,0-14
Qatar,2017,Female,C19,Cancer,2.0,Age Group 1,1.0,0-14
Qatar,2017,Female,C20,Cancer,12.0,Age Group 1,6.0,0-14
Qatar,2017,Female,C22,Cancer,16.0,Age Group 1,8.0,0-14
Qatar,2017,Female,C23,Cancer,6.0,Age Group 1,3.0,0-14
Qatar,2017,Female,C25,Cancer,8.0,Age Group 1,4.0,0-14
Qatar,2017,Female,E11,Diabetes,34.0,Age Group 1,17.0,0-14
Qatar,2017,Female,E14,Diabetes,48.0,Age Group 1,24.0,0-14
Qatar,2017,Female,I10,Hypertension,32.0,Age Group 1,16.0,0-14
Qatar,2017,Female,I11,Hypertension,10.0,Age Group 1,5.0,0-14
Qatar,2017,Female,I13,Hypertension,4.0,Age Group 1,2.0,0-14
Qatar,2017,Female,I15,Hypertension,4.0,Age Group 1,2.0,0-14
Qatar,2017,Female,I21,Heart Disease,28.0,Age Group 1,14.0,0-14
Qatar,2017,Female,I24,Heart Disease,2.0,Age Group 1,1.0,0-14
Qatar,2017,Female,I25,Heart Disease,32.0,Age Group 1,16.0,0-14
Qatar,2017,Female,I60,Stroke,4.0,Age Group 1,2.0,0-14
Qatar,2017,Female,I61,Stroke,8.0,Age Group 1,4.0,0-14
Qatar,2017,Female,I62,Stroke,8.0,Age Group 1,4.0,0-14
Qatar,2017,Female,I63,Stroke,4.0,Age Group 1,2.0,0-14
Qatar,2017,Female,I64,Stroke,6.0,Age Group 1,3.0,0-14
Qatar,2017,Female,I67,Stroke,8.0,Age Group 1,4.0,0-14
Qatar,2017,Female,I69,Stroke,8.0,Age Group 1,4.0,0-14
Qatar,2019,Male,C03,Cancer,2.0,Age Group 1,1.0,0-14
Qatar,2019,Male,C15,Cancer,6.0,Age Group 1,3.0,0-14
Qatar,2019,Male,C16,Cancer,22.0,Age Group 1,11.0,0-14
Qatar,2019,Male,C18,Cancer,20.0,Age Group 1,10.0,0-14
Qatar,2019,Male,C20,Cancer,4.0,Age Group 1,2.0,0-14
Qatar,2019,Male,C22,Cancer,28.0,Age Group 1,14.0,0-14
Qatar,2019,Male,C24,Cancer,2.0,Age Group 1,1.0,0-14
Qatar,2019,Male,C25,Cancer,28.0,Age Group 1,14.0,0-14
Qatar,2019,Male,C32,Cancer,4.0,Age Group 1,2.0,0-14
Qatar,2019,Male,E11,Diabetes,94.0,Age Group 1,47.0,0-14
Qatar,2019,Male,E12,Diabetes,4.0,Age Group 1,2.0,0-14
Qatar,2019,Male,E13,Diabetes,2.0,Age Group 1,1.0,0-14
Qatar,2019,Male,E14,Diabetes,32.0,Age Group 1,16.0,0-14
Qatar,2019,Male,I10,Hypertension,10.0,Age Group 1,5.0,0-14
Qatar,2019,Male,I11,Hypertension,26.0,Age Group 1,13.0,0-14
Qatar,2019,Male,I12,Hypertension,2.0,Age Group 1,1.0,0-14
Qatar,2019,Male,I13,Hypertension,68.0,Age Group 1,34.0,0-14
Qatar,2019,Male,I15,Hypertension,6.0,Age Group 1,3.0,0-14
Qatar,2019,Male,I20,Heart Disease,2.0,Age Group 1,1.0,0-14
Qatar,2019,Male,I21,Heart Disease,94.0,Age Group 1,47.0,0-14
Qatar,2019,Male,I24,Heart Disease,6.0,Age Group 1,3.0,0-14
Qatar,2019,Male,I25,Heart Disease,166.0,Age Group 1,83.0,0-14
Qatar,2019,Male,I60,Stroke,22.0,Age Group 1,11.0,0-14
Qatar,2019,Male,I61,Stroke,22.0,Age Group 1,11.0,0-14
Qatar,2019,Male,I62,Stroke,6.0,Age Group 1,3.0,0-14
Qatar,2019,Male,I63,Stroke,8.0,Age Group 1,4.0,0-14
Qatar,2019,Male,I64,Stroke,26.0,Age Group 1,13.0,0-14
Qatar,2019,Male,I67,Stroke,10.0,Age Group 1,5.0,0-14
Qatar,2019,Male,I69,Stroke,2.0,Age Group 1,1.0,0-14
Qatar,2019,Female,C15,Cancer,4.0,Age Group 1,2.0,0-14
Qatar,2019,Female,C16,Cancer,12.0,Age Group 1,6.0,0-14
Qatar,2019,Female,C18,Cancer,28.0,Age Group 1,14.0,0-14
