CountryName,Year,Sex,Cause,NCD_Category,Total_Deaths,Age_Group,Deaths
Qatar,2017,1,C04,Cancer,2.0,Age Group 1,1.0
Qatar,2017,1,C15,Cancer,2.0,Age Group 1,1.0
Qatar,2017,1,C16,Cancer,18.0,Age Group 1,9.0
Qatar,2017,1,C17,Cancer,4.0,Age Group 1,2.0
Qatar,2017,1,C18,Cancer,26.0,Age Group 1,13.0
Qatar,2017,1,C20,Cancer,4.0,Age Group 1,2.0
Qatar,2017,1,C22,Cancer,44.0,Age Group 1,22.0
Qatar,2017,1,C23,Cancer,4.0,Age Group 1,2.0
Qatar,2017,1,C25,Cancer,18.0,Age Group 1,9.0
Qatar,2017,1,C30,Cancer,2.0,Age Group 1,1.0
Qatar,2017,1,C32,Cancer,4.0,Age Group 1,2.0
Qatar,2017,1,E10,Diabetes,10.0,Age Group 1,5.0
Qatar,2017,1,E11,Diabetes,68.0,Age Group 1,34.0
Qatar,2017,1,E14,Diabetes,92.0,Age Group 1,46.0
Qatar,2017,1,I10,Hypertension,58.0,Age Group 1,29.0
Qatar,2017,1,I11,Hypertension,10.0,Age Group 1,5.0
Qatar,2017,1,I13,Hypertension,10.0,Age Group 1,5.0
Qatar,2017,1,I15,Hypertension,8.0,Age Group 1,4.0
Qatar,2017,1,I20,Heart Disease,4.0,Age Group 1,2.0
Qatar,2017,1,I21,Heart Disease,100.0,Age Group 1,50.0
Qatar,2017,1,I22,Heart Disease,8.0,Age Group 1,4.0
Qatar,2017,1,I24,Heart Disease,12.0,Age Group 1,6.0
Qatar,2017,1,I25,Heart Disease,230.0,Age Group 1,115.0
Qatar,2017,1,I60,Stroke,8.0,Age Group 1,4.0
Qatar,2017,1,I61,Stroke,16.0,Age Group 1,8.0
Qatar,2017,1,I62,Stroke,6.0,Age Group 1,3.0
Qatar,2017,1,I63,Stroke,8.0,Age Group 1,4.0
Qatar,2017,1,I64,Stroke,20.0,Age Group 1,10.0
Qatar,2017,1,I67,Stroke,8.0,Age Group 1,4.0
Qatar,2017,1,I69,Stroke,4.0,Age Group 1,2.0
Qatar,2017,2,C15,Cancer,2.0,Age Group 1,1.0
Qatar,2017,2,C16,Cancer,6.0,Age Group 1,3.0
Qatar,2017,2,C18,Cancer,16.0,Age Group 1,8.0
Qatar,2017,2,C19,Cancer,2.0,Age Group 1,1.0
Qatar,2017,2,C20,Cancer,12.0,Age Group 1,6.0
Qatar,2017,2,C22,Cancer,16.0,Age Group 1,8.0
Qatar,2017,2,C23,Cancer,6.0,Age Group 1,3.0
Qatar,2017,2,C25,Cancer,8.0,Age Group 1,4.0
Qatar,2017,2,E11,Diabetes,34.0,Age Group 1,17.0
Qatar,2017,2,E14,Diabetes,48.0,Age Group 1,24.0
Qatar,2017,2,I10,Hypertension,32.0,Age Group 1,16.0
Qatar,2017,2,I11,Hypertension,10.0,Age Group 1,5.0
Qatar,2017,2,I13,Hypertension,4.0,Age Group 1,2.0
Qatar,2017,2,I15,Hypertension,4.0,Age Group 1,2.0
Qatar,2017,2,I21,Heart Disease,28.0,Age Group 1,14.0
Qatar,2017,2,I24,Heart Disease,2.0,Age Group 1,1.0
Qatar,2017,2,I25,Heart Disease,32.0,Age Group 1,16.0
Qatar,2017,2,I60,Stroke,4.0,Age Group 1,2.0
Qatar,2017,2,I61,Stroke,8.0,Age Group 1,4.0
Qatar,2017,2,I62,Stroke,8.0,Age Group 1,4.0
Qatar,2017,2,I63,Stroke,4.0,Age Group 1,2.0
Qatar,2017,2,I64,Stroke,6.0,Age Group 1,3.0
Qatar,2017,2,I67,Stroke,8.0,Age Group 1,4.0
Qatar,2017,2,I69,Stroke,8.0,Age Group 1,4.0
Qatar,2019,1,C03,Cancer,2.0,Age Group 1,1.0
Qatar,2019,1,C15,Cancer,6.0,Age Group 1,3.0
Qatar,2019,1,C16,Cancer,22.0,Age Group 1,11.0
Qatar,2019,1,C18,Cancer,20.0,Age Group 1,10.0
Qatar,2019,1,C20,Cancer,4.0,Age Group 1,2.0
Qatar,2019,1,C22,Cancer,28.0,Age Group 1,14.0
Qatar,2019,1,C24,Cancer,2.0,Age Group 1,1.0
Qatar,2019,1,C25,Cancer,28.0,Age Group 1,14.0
Qatar,2019,1,C32,Cancer,4.0,Age Group 1,2.0
Qatar,2019,1,E11,Diabetes,94.0,Age Group 1,47.0
Qatar,2019,1,E12,Diabetes,4.0,Age Group 1,2.0
Qatar,2019,1,E13,Diabetes,2.0,Age Group 1,1.0
Qatar,2019,1,E14,Diabetes,32.0,Age Group 1,16.0
